STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,HOUR
0.00,0.00,0.00,0.00,0.00,0.00,-0.61,0.33,-0.35,-1.41,0.00,-0.41,1.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,0.00,-0.63,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.66,0.33,-0.35,-1.41,0.00,-0.41,1.00,0.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,0.00,-0.41,0.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.69,0.33,-0.42,-1.41,0.00,0.35,1.00,0.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.81,0.33,-0.56,-1.41,0.00,-0.03,1.00,0.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.85,0.33,-0.56,-1.41,0.00,-0.41,1.00,0.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.56,0.00,1.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.90,0.33,-0.62,-1.41,0.00,-0.41,1.00,0.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.63,0.00,1.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.63,0.00,1.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.83,0.33,-0.50,-1.41,0.00,-0.41,1.00,0.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,0.00,-0.63,0.00,1.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.29,0.71,0.00,-0.41,0.00,1.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.33,-0.38,-1.41,0.00,0.35,1.00,0.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.29,0.71,0.00,-0.41,0.00,1.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.33,-0.16,-1.41,0.00,1.10,1.00,0.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.25,0.33,-0.12,-1.41,0.00,1.85,1.00,0.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.33,-0.04,-1.41,0.00,1.85,1.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.33,0.09,-1.41,0.00,1.10,1.00,0.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.33,0.18,-1.41,0.00,2.61,1.00,0.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.33,0.09,-1.41,0.00,2.61,1.00,0.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.33,0.05,-1.41,0.00,1.85,1.00,0.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.33,-0.02,-1.41,0.00,1.10,1.00,0.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.33,0.13,0.71,0.00,-0.41,0.00,1.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,15.00
